CDP Name,County[1],Population,,,
2010 Census[2],Land area[3],Latitude Longitude[4],,,
sqmi,km2,,,,
Fife Heights,Pierce,"2,137",1.19,3.1,47°15′31″N 122°20′43″W
Finley,Benton,"6,012",11.56,29.9,46°10′10″N 119°02′41″W
Five Corners,Clark,"18,159",5.9,15.3,45°41′22″N 122°34′14″W
Fobes Hill,Snohomish,"2,418",4.65,12,47°56′21″N 122°08′03″W
Fords Prairie,Lewis,"1,959",3.76,9.7,46°44′57″N 123°00′13″W
Fort Lewis,Pierce,"11,046",10.27,26.6,47°05′44″N 122°34′03″W
Four Lakes,Spokane,512,3.38,8.8,47°33′45″N 117°34′45″W
Fox Island,Pierce,"3,633",5.22,13.5,47°15′08″N 122°37′43″W
Frederickson,Pierce,"18,719",11.55,29.9,47°05′31″N 122°21′34″W
Freeland,Island,"2,045",3.88,10,48°01′42″N 122°32′59″W
Garrett,Walla Walla,"1,419",1.92,5,46°03′48″N 118°23′11″W
Geneva,Whatcom,"2,321",1.06,2.7,48°44′41″N 122°24′24″W
Glacier,Whatcom,211,2.95,7.6,48°53′31″N 121°55′55″W
Gleed,Yakima,"2,906",5.41,14,46°39′34″N 120°36′09″W
Gorst,Kitsap,592,0.61,1.6,47°31′26″N 122°42′20″W
Graham,Pierce,"23,491",34.99,90.6,47°02′04″N 122°16′37″W
Grand Mound,Thurston,"2,981",3.93,10.2,46°48′22″N 123°00′48″W
Grapeview,Mason,954,3.67,9.5,47°20′05″N 122°50′00″W
Grayland,Grays Harbor,953,6.84,17.7,46°50′30″N 124°05′28″W
Grays River,Wahkiakum,263,20.13,52.1,46°22′04″N 123°34′53″W
Green Bluff,Spokane,761,7.64,19.8,47°49′08″N 117°16′37″W
Greenwater,Pierce,67,1.45,3.8,47°08′39″N 121°37′42″W
Hansville,Kitsap,"3,091",10.6,27.5,47°54′36″N 122°34′16″W
Hat Island,Snohomish,41,0.69,1.8,48°00′48″N 122°19′14″W
Hazel Dell,Clark,"19,435",4.84,12.5,45°40′55″N 122°39′10″W
Herron Island,Pierce,151,0.48,1.2,47°15′53″N 122°50′05″W
High Bridge,Snohomish,"2,994",7,18.1,47°47′57″N 122°01′26″W
Hobart,King,"6,221",18.8,48.7,47°24′42″N 122°00′19″W
Hockinson,Clark,"4,771",13.78,35.7,45°43′49″N 122°29′00″W
Hogans Corner,Grays Harbor,85,0.31,0.8,47°02′29″N 124°09′42″W
Home,Pierce,"1,377",6.32,16.4,47°16′29″N 122°47′24″W
Hoodsport,Mason,376,1.05,2.7,47°24′07″N 123°09′15″W
Humptulips,Grays Harbor,255,9.32,24.1,47°14′01″N 123°58′50″W
Inchelium,Ferry,409,26.43,68.5,48°21′34″N 118°14′32″W
Indianola,Kitsap,"3,500",4.83,12.5,47°45′19″N 122°30′41″W
Jamestown,Clallam,361,0.58,1.5,48°07′22″N 123°05′28″W
Junction City,Grays Harbor,18,1.42,3.7,46°58′05″N 123°45′35″W
Kapowsin,Pierce,333,4.12,10.7,46°58′24″N 122°13′52″W
Kayak Point,Snohomish,"1,725",,,
(2012 5-year est.),5.47,14.2,48°08′33″N 122°20′32″W,,
Keller,Ferry,234,9.52,24.7,48°05′07″N 118°42′59″W
Kendall,Whatcom,191,0.81,2.1,48°54′54″N 122°08′26″W
Ketron Island,Pierce,17,0.35,0.91,47°09′23″N 122°38′03″W
Key Center,Pierce,"3,692",14.58,37.8,47°19′50″N 122°45′18″W
Keyport,Kitsap,554,0.51,1.3,47°42′00″N 122°37′27″W
Kingston,Kitsap,"2,099",1.87,4.8,47°48′04″N 122°29′56″W
Klahanie,King,"10,674",1.93,5,47°34′10″N 122°00′30″W
Klickitat,Klickitat,362,0.94,2.4,45°49′05″N 121°09′45″W
La Grande,Pierce,109,4.25,11,46°48′39″N 122°17′00″W
Lake Bosworth,Snohomish,667,3.41,8.8,48°03′09″N 121°59′19″W
Lake Cassidy,Snohomish,"3,415",10.57,27.4,48°03′58″N 122°04′57″W
Lake Cavanaugh,Skagit,167,0.77,2,48°19′01″N 122°00′38″W
Lake Goodwin,Snohomish,"3,656",,,
(2012 5-year est.),4,10.4,48°08′39″N 122°16′37″W,,
Lake Holm,King,"3,221",8.36,21.7,47°18′23″N 122°07′48″W
Lake Ketchum,Snohomish,930,2.08,5.4,48°17′06″N 122°20′46″W
Lake Marcel-Stillwater,King,"1,277",1.28,3.3,47°41′42″N 121°54′54″W
Lake McMurray,Skagit,192,0.81,2.1,48°18′39″N 122°14′03″W
Lake Morton-Berrydale,King,"10,160",12.29,31.8,47°19′58″N 122°06′14″W
Lake Roesiger,Snohomish,503,3.91,10.1,47°58′35″N 121°54′18″W
Lake Shore,Clark,"6,571",1.64,4.2,45°41′28″N 122°41′28″W
Lake Stickney,Snohomish,"7,777",1.53,4,47°52′17″N 122°15′26″W
Lake Tapps,Pierce,"11,859",12.4,32.1,47°13′51″N 122°10′16″W
Lakeland North,King,"12,942",3.25,8.4,47°20′14″N 122°16′57″W
Lakeland South,King,"11,574",4.97,12.9,47°16′34″N 122°17′05″W
Lakeview,Grant,915,1.13,2.9,47°22′32″N 119°30′15″W
Larch Way,Snohomish,"3,318",1.11,2.9,47°50′34″N 122°15′10″W
Laurier,Ferry,1,0.06,0.16,48°59′50″N 118°13′29″W
Lebam,Pacific,160,1.46,3.8,46°33′51″N 123°33′03″W
Lewisville,Clark,"1,722",5.61,14.5,45°48′59″N 122°30′30″W
Lochsloy,Snohomish,"2,533",7.46,19.3,48°03′35″N 122°02′28″W
Lofall,Kitsap,"2,289",2,5.2,47°48′38″N 122°39′07″W
Longbranch,Pierce,"3,784",20.01,51.8,47°13′34″N 122°46′01″W
Longview Heights,Cowlitz,"3,851",4.2,10.9,46°10′46″N 122°57′10″W
Loomis,Okanogan,159,0.87,2.3,48°49′25″N 119°38′23″W
Loon Lake,Stevens,783,3.26,8.4,48°04′07″N 117°37′47″W
Lower Elochoman,Wahkiakum,185,1.51,3.9,46°13′07″N 123°22′11″W
Lyle,Klickitat,499,0.71,1.8,45°41′44″N 121°16′50″W
Machias,Snohomish,"1,178",2.45,6.3,47°59′30″N 122°03′06″W
Malo,Ferry,28,0.12,0.31,48°47′59″N 118°36′43″W
Malone,Grays Harbor,475,9.04,23.4,46°58′28″N 123°18′27″W
Malott,Okanogan,487,1.84,4.8,48°17′31″N 119°41′44″W
Maltby,Snohomish,"10,830",19.38,50.2,47°48′08″N 122°06′22″W
Manchester,Kitsap,"5,413",2.93,7.6,47°32′50″N 122°32′28″W
Manson,Chelan,"1,468",1.25,3.2,47°53′09″N 120°09′23″W
Maple Falls,Whatcom,324,2.48,6.4,48°54′42″N 122°06′39″W
Maple Heights-Lake Desire,King,"3,152",4.1,10.6,47°26′10″N 122°05′40″W
Maplewood,Pierce,"5,138",8.29,21.5,47°22′35″N 122°33′56″W
Marblemount,Skagit,203,2.16,5.6,48°32′10″N 121°26′14″W
Marietta-Alderwood,Whatcom,"3,906",5.74,14.9,48°47′17″N 122°33′19″W
Markham,Grays Harbor,111,1.12,2.9,46°54′51″N 123°59′17″W
Marrowstone,Jefferson,844,6.3,16.3,48°01′55″N 122°41′02″W
Martha Lake,Snohomish,"15,473",4.55,11.8,47°50′41″N 122°13′59″W
Maryhill,Klickitat,58,2.82,7.3,45°41′34″N 120°48′26″W
May Creek,Snohomish,818,0.62,1.6,47°51′20″N 121°40′27″W
McChord Air Force Base,Pierce,"2,507",5.84,15.1,47°07′58″N 122°29′31″W
McKenna,Pierce,716,1.08,2.8,46°56′05″N 122°33′00″W
McMillin,Pierce,"1,547",1.65,4.3,47°07′34″N 122°14′07″W
Mead,Spokane,"7,275",7.27,18.8,47°46′46″N 117°21′00″W
Meadow Glade,Clark,"2,541",3.63,9.4,45°45′08″N 122°33′41″W
Meadowdale,Snohomish,"2,826",1.08,2.8,47°51′30″N 122°18′58″W
Methow,Okanogan,68,0.68,1.8,48°07′52″N 120°00′19″W
Midland,Pierce,"8,962",3.04,7.9,47°10′24″N 122°24′43″W
Mill Creek East,Snohomish,"15,709",4.45,11.5,47°50′10″N 122°11′16″W
Mineral,Lewis,202,0.67,1.7,46°43′09″N 122°11′10″W
Minnehaha,Clark,"9,771",2.22,5.7,45°39′23″N 122°37′04″W
Mirrormont,King,"3,659",10.38,26.9,47°27′37″N 121°59′25″W
Moclips,Grays Harbor,207,1.78,4.6,47°13′47″N 124°12′05″W
Monroe North,Snohomish,"1,666",2.44,6.3,47°52′57″N 121°59′17″W
Moses Lake North,Grant,"4,418",5.65,14.6,47°11′40″N 119°19′07″W
Mount Vista,Clark,"7,850",5.24,13.6,45°44′14″N 122°37′54″W
Naselle,Pacific,419,2.27,5.9,46°22′14″N 123°46′54″W
Navy Yard City,Kitsap,"2,477",0.61,1.6,47°33′11″N 122°39′45″W
Neah Bay,Clallam,865,2.35,6.1,48°21′40″N 124°36′42″W
Neilton,Grays Harbor,315,9.67,25,47°24′11″N 123°52′42″W
Nespelem Community,Okanogan,253,23.49,60.8,48°09′45″N 119°02′55″W
Nile,Yakima,140,0.77,2,46°50′12″N 120°56′43″W
Nisqually Indian Community,Thurston,575,2.75,7.1,47°01′33″N 122°41′22″W
North Fort Lewis,Pierce,"2,699",5.9,15.3,47°07′17″N 122°35′40″W
North Lynnwood,Snohomish,"16,574",3.12,8.1,47°51′12″N 122°16′34″W
North Marysville,Snohomish,108,1.3,3.4,48°06′40″N 122°08′45″W
North Omak,Okanogan,688,11.2,29,48°26′38″N 119°26′45″W
North Puyallup,Pierce,"1,743",1.02,2.6,47°11′56″N 122°16′42″W
North Sultan,Snohomish,264,0.59,1.5,47°52′57″N 121°49′22″W
North Yelm,Thurston,"2,906",3.34,8.7,46°57′58″N 122°36′48″W
Northwest Stanwood,Snohomish,149,0.7,1.8,48°15′45″N 122°21′00″W
Ocean City,Grays Harbor,200,3.34,8.7,47°04′57″N 124°09′25″W
Ocean Park,Pacific,"1,573",3.03,7.8,46°29′48″N 124°02′29″W
Onalaska,Lewis,621,1.59,4.1,46°34′42″N 122°42′40″W
Orchards,Clark,"19,556",5.4,14,45°41′20″N 122°31′50″W
Orient,Ferry,115,0.43,1.1,48°51′50″N 118°12′21″W
Oso,Snohomish,180,2.83,7.3,48°17′15″N 121°55′30″W
Otis Orchards-East Farms,Spokane,"6,220",8.03,20.8,47°42′18″N 117°05′07″W
Outlook,Yakima,292,0.13,0.34,46°19′52″N 120°05′34″W
Oyehut,Grays Harbor,85,0.6,1.6,47°01′21″N 124°09′55″W
Pacific Beach,Grays Harbor,291,1.21,3.1,47°13′04″N 124°11′37″W
Packwood,Lewis,342,1,2.6,46°36′31″N 121°40′13″W
Parker,Yakima,154,0.12,0.31,46°30′08″N 120°28′01″W
Parkland,Pierce,"35,803",8.64,22.4,47°08′29″N 122°26′16″W
Parkwood,Kitsap,"7,126",2.6,6.7,47°31′31″N 122°36′16″W
Peaceful Valley,Whatcom,"3,324",16.96,43.9,48°56′32″N 122°08′27″W
Picnic Point,Snohomish,"8,809",3.04,7.9,47°52′35″N 122°18′30″W
Pine Grove,Ferry,145,0.49,1.3,48°39′01″N 118°41′02″W
Point Roberts,Whatcom,"1,314",4.89,12.7,48°59′05″N 123°03′34″W
Port Angeles East,Clallam,"3,036",3.77,9.8,48°06′35″N 123°22′02″W
Port Gamble Tribal Community,Kitsap,916,4.23,11,47°50′46″N 122°33′27″W
Port Hadlock-Irondale,Jefferson,"3,580",6.69,17.3,48°01′59″N 122°47′51″W
Port Ludlow,Jefferson,"2,603",11.54,29.9,47°54′52″N 122°41′42″W
Porter,Grays Harbor,207,8.88,23,46°56′55″N 123°16′49″W
Prairie Heights,Pierce,"4,405",3.74,9.7,47°08′59″N 122°06′33″W
Prairie Ridge,Pierce,"11,464",4.09,10.6,47°08′40″N 122°08′21″W
Puget Island,Wahkiakum,831,7.57,19.6,46°10′32″N 123°22′55″W
Purdy,Pierce,"1,544",2.34,6.1,47°23′47″N 122°36′17″W
Queets,Grays Harbor,174,1.4,3.6,47°31′35″N 124°20′41″W
